crop,id_soil_final,soil_name
Wheat,60a1762326e98d13b8dbb951,Vertisols
Wheat,6334a6d230243c12cc1fa8c3,Haplic Vertisols
Wheat,6334a6d330243c12cc1fa8c4,Calcic Vertisols
Wheat,6334a6d330243c12cc1fa8c5,Lithic Leptosols
Wheat,6334a6d330243c12cc1fa8c6,Rendzic Leptosols
Wheat,6334a6d330243c12cc1fa8c7,Haplic Luvisols
Wheat,6334a6d330243c12cc1fa8c8,Haplic Nitisols
Wheat,6334a6d330243c12cc1fa8c9,Alic Nitisols
Wheat,6334a6d330243c12cc1fa8ca,Haplic Leptosols
Wheat,6334a6d330243c12cc1fa8cb,Vertic Luvisols
Wheat,6334a6d330243c12cc1fa8cc,Aluandic Andosols
Wheat,6334a6d330243c12cc1fa8cd,Haplic Alisols
Wheat,6334a6d330243c12cc1fa8ce,Protic Arenosols
